run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_044,"(2.5189011096954346, 4.707402199193854)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_045,"(0.000385284423828125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_046,"(2.2944326400756836, 4.775883405040335)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_047,"(0.18206787109375, 3.2842998134337735)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_048,"(0.0003771781921386719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_049,"(0.007248640060424805, 2.791497838655176)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_000,"(0.020157337188720703, 1.1122475771962186)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_001,"(0.00038909912109375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_003,"(0.2112572193145752, 1.1244563844385669)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_004,"(0.00037550926208496094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_005,"(0.03538703918457031, 1.3375546529971731)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_006,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_007,"(0.0003705024719238281, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_008,"(0.20983028411865234, 1.5088294478760478)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_009,"(0.42246437072753906, 1.0413657901732494)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_010,"(0.00038814544677734375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_011,"(0.2065441608428955, 0.30545200342696266)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_012,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_014,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_015,"(0.0560755729675293, 0.9310154585807926)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_016,"(0.0012967586517333984, 0.8058520215050792)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_017,"(0.0017850399017333984, 2.336379761162817)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_018,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_019,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_020,"(0.06099295616149902, 1.6471738851762003)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_021,"(0.00038552284240722656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_022,"(3.4700567722320557, 1.9501085467573256)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_023,"(0.0003974437713623047, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_024,"(0.058951616287231445, 2.1118313940256157)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_025,"(0.23215341567993164, 3.1254946733408175)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_026,"(0.00042891502380371094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_027,"(3.474212408065796, 0.4206087415892464)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_028,"(0.0017087459564208984, 0.6784887441290254)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_029,"(0.00041985511779785156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_030,"(0.00042247772216796875, 0)"
