run_details,runtime
algorithm_edgeIDbrutev3_num_nodes_000005_sim_016,"(0.011439085006713867, 1.6577121073570529)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_017,"(0.0010528564453125, 2.4081247612876915)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_017,"(0.0010461807250976562, 2.4081247612876915)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_017,"(0.003000020980834961, 2.4081247612876915)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_017,"(0.003120899200439453, 2.4081247612876915)"
algorithm_Alg2_num_nodes_000005_sim_017,"(0.005433559417724609, 2.4081247612876915)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_017,"(0.017159461975097656, 2.4081247612876915)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_018,"(0.00022482872009277344, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_018,"(0.00021886825561523438, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_018,"(0.0010983943939208984, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_018,"(0.0010242462158203125, 0)"
algorithm_Alg2_num_nodes_000005_sim_018,"(0.0010395050048828125, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_018,"(0.00032782554626464844, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_019,"(0.0009875297546386719, 0.6353011023844517)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_019,"(0.0010008811950683594, 1.408121728633359)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_019,"(0.0023834705352783203, 0.6353011023844517)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_019,"(0.002697467803955078, 0.6353011023844517)"
algorithm_Alg2_num_nodes_000005_sim_019,"(0.0019152164459228516, 0.6353011023844517)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_019,"(0.001722097396850586, 0.6353011023844517)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_020,"(0.0002200603485107422, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_020,"(0.00022029876708984375, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_020,"(0.0010690689086914062, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_020,"(0.0010166168212890625, 0)"
algorithm_Alg2_num_nodes_000005_sim_020,"(0.0010323524475097656, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_020,"(0.00032973289489746094, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_021,"(0.0002200603485107422, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_021,"(0.00022125244140625, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_021,"(0.0010445117950439453, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_021,"(0.0009899139404296875, 0)"
algorithm_Alg2_num_nodes_000005_sim_021,"(0.0009937286376953125, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_021,"(0.0003368854522705078, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_022,"(0.0009729862213134766, 0.2990778057284562)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_022,"(0.0009255409240722656, 0.2990778057284562)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_022,"(0.0020308494567871094, 0.2990778057284562)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_022,"(0.002040863037109375, 0.2990778057284562)"
algorithm_Alg2_num_nodes_000005_sim_022,"(0.001611471176147461, 0.2990778057284562)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_022,"(0.0010638236999511719, 0.2990778057284562)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_023,"(0.0010609626770019531, 3.132320748066354)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_023,"(0.0010509490966796875, 3.132320748066354)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_023,"(0.0032317638397216797, 3.1323207480663546)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_023,"(0.0029747486114501953, 3.1323207480663546)"
algorithm_Alg2_num_nodes_000005_sim_023,"(0.003596067428588867, 3.1323207480663546)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_023,"(0.011704206466674805, 3.1323207480663546)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_024,"(0.0002307891845703125, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_024,"(0.00022602081298828125, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_024,"(0.0011310577392578125, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_024,"(0.001071929931640625, 0)"
algorithm_Alg2_num_nodes_000005_sim_024,"(0.001046895980834961, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_024,"(0.0003376007080078125, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_025,"(0.0011281967163085938, 1.3941987315633178)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_025,"(0.0010411739349365234, 1.3941987315633178)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_025,"(0.002939939498901367, 1.3941987315633178)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_025,"(0.0033004283905029297, 1.3941987315633178)"
algorithm_Alg2_num_nodes_000005_sim_025,"(0.005167722702026367, 1.394198731563318)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_025,"(0.01734137535095215, 1.3941987315633178)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_026,"(0.0002703666687011719, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_026,"(0.00022459030151367188, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_026,"(0.0010480880737304688, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_026,"(0.0010559558868408203, 0)"
algorithm_Alg2_num_nodes_000005_sim_026,"(0.0010154247283935547, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_026,"(0.00038933753967285156, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_027,"(0.00021910667419433594, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_027,"(0.000247955322265625, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_027,"(0.0010650157928466797, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_027,"(0.0010173320770263672, 0)"
algorithm_Alg2_num_nodes_000005_sim_027,"(0.0009853839874267578, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_027,"(0.00033092498779296875, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_028,"(0.0002219676971435547, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_028,"(0.0002808570861816406, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_028,"(0.0011141300201416016, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_028,"(0.0010828971862792969, 0)"
algorithm_Alg2_num_nodes_000005_sim_028,"(0.0013270378112792969, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_028,"(0.0003294944763183594, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_029,"(0.0010385513305664062, 1.2757776487424013)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_029,"(0.001062631607055664, 1.2757776487424013)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_029,"(0.0029022693634033203, 1.2757776487424013)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_029,"(0.0033059120178222656, 1.2757776487424013)"
algorithm_Alg2_num_nodes_000005_sim_029,"(0.003737926483154297, 1.2757776487424013)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_029,"(0.011741399765014648, 1.2757776487424013)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_030,"(0.00021409988403320312, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_030,"(0.00021910667419433594, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_030,"(0.001073598861694336, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_030,"(0.0010101795196533203, 0)"
algorithm_Alg2_num_nodes_000005_sim_030,"(0.0009951591491699219, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_030,"(0.00032901763916015625, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_031,"(0.0010271072387695312, 0.6294798394646073)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_031,"(0.0009660720825195312, 0.6294798394646073)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_031,"(0.002620697021484375, 0.6294798394646073)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_031,"(0.0024755001068115234, 0.6294798394646073)"
algorithm_Alg2_num_nodes_000005_sim_031,"(0.0022339820861816406, 0.6294798394646073)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_031,"(0.002516508102416992, 0.6294798394646073)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_032,"(0.0011091232299804688, 2.5363953102922845)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_032,"(0.0010619163513183594, 2.7331964189272444)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_032,"(0.003168821334838867, 2.5363953102922845)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_032,"(0.0038924217224121094, 2.7331964189272444)"
algorithm_Alg2_num_nodes_000005_sim_032,"(0.00833749771118164, 2.5363953102922845)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_032,"(0.017301321029663086, 2.5363953102922845)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_033,"(0.0002238750457763672, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_033,"(0.00022101402282714844, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_033,"(0.001077890396118164, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_033,"(0.0010445117950439453, 0)"
algorithm_Alg2_num_nodes_000005_sim_033,"(0.0010344982147216797, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_033,"(0.0003409385681152344, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_034,"(0.0010700225830078125, 1.0441662962212614)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_034,"(0.0010879039764404297, 1.0441662962212614)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_034,"(0.0035049915313720703, 1.0441662962212614)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_034,"(0.00284576416015625, 1.0441662962212614)"
algorithm_Alg2_num_nodes_000005_sim_034,"(0.0027246475219726562, 1.0441662962212614)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_034,"(0.008041620254516602, 1.0441662962212614)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_035,"(0.0002238750457763672, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_035,"(0.00022268295288085938, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_035,"(0.001064300537109375, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_035,"(0.0010349750518798828, 0)"
algorithm_Alg2_num_nodes_000005_sim_035,"(0.0010623931884765625, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_035,"(0.0003390312194824219, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_036,"(0.0011296272277832031, 2.991168352779413)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_036,"(0.0011627674102783203, 5.777927397685805)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_036,"(0.0032148361206054688, 2.991168352779413)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_036,"(0.0030870437622070312, 5.777927397685805)"
algorithm_Alg2_num_nodes_000005_sim_036,"(0.0037059783935546875, 2.991168352779413)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_036,"(0.01143026351928711, 2.991168352779413)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_037,"(0.0009295940399169922, 0.6500164540354552)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_037,"(0.0009653568267822266, 0.6500164540354552)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_037,"(0.002051115036010742, 0.6500164540354552)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_037,"(0.0020639896392822266, 0.6500164540354552)"
