run_details,runtime
algorithm_heuristicMinCut2_num_nodes_000005_sim_014,"(0.0028717517852783203, 1.3969166529163912)"
algorithm_Alg2_num_nodes_000005_sim_014,"(0.002830982208251953, 1.3969166529163912)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_014,"(0.006378889083862305, 1.3969166529163912)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_015,"(0.001172780990600586, 1.5378881603664538)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_015,"(0.001165628433227539, 3.5005265608312084)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_015,"(0.0027303695678710938, 1.5378881603664538)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_015,"(0.0034589767456054688, 3.5005265608312084)"
algorithm_Alg2_num_nodes_000005_sim_015,"(0.0022706985473632812, 1.5378881603664538)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_015,"(0.0024623870849609375, 1.5378881603664538)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_016,"(0.0009622573852539062, 0.742017379671686)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_016,"(0.0009374618530273438, 0.742017379671686)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_016,"(0.002126455307006836, 0.742017379671686)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_016,"(0.0021305084228515625, 0.742017379671686)"
algorithm_Alg2_num_nodes_000005_sim_016,"(0.0017232894897460938, 0.742017379671686)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_016,"(0.0010416507720947266, 0.742017379671686)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_017,"(0.0012927055358886719, 1.9790390699915705)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_017,"(0.001161813735961914, 3.300088299579956)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_017,"(0.003665924072265625, 1.9790390699915708)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_017,"(0.004063844680786133, 3.300088299579956)"
algorithm_Alg2_num_nodes_000005_sim_017,"(0.01215052604675293, 1.9790390699915708)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_017,"(0.07743620872497559, 1.9790390699915705)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_018,"(0.0012471675872802734, 3.7666259061910816)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_018,"(0.0011749267578125, 3.459218717991859)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_018,"(0.004289388656616211, 3.403751658684209)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_018,"(0.004106760025024414, 3.403751658684209)"
algorithm_Alg2_num_nodes_000005_sim_018,"(0.3508107662200928, 3.403751658684209)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_018,"(0.2711327075958252, 3.403751658684209)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_019,"(0.0014483928680419922, 3.096508324278982)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_019,"(0.0012276172637939453, 2.0014678276734554)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_019,"(0.004136800765991211, 3.096508324278982)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_019,"(0.0037658214569091797, 2.0014678276734554)"
algorithm_Alg2_num_nodes_000005_sim_019,"(0.024613380432128906, 2.0014678276734554)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_019,"(0.24573206901550293, 2.0014678276734554)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_020,"(0.0012736320495605469, 4.918438502185539)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_020,"(0.0013549327850341797, 4.918438502185539)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_020,"(0.004542827606201172, 4.918438502185539)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_020,"(0.0038335323333740234, 4.918438502185539)"
algorithm_Alg2_num_nodes_000005_sim_020,"(0.02849411964416504, 4.27676620014553)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_020,"(0.0807044506072998, 3.97286417632265)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_021,"(0.0013532638549804688, 2.359243287468783)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_021,"(0.0011632442474365234, 2.830260093182276)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_021,"(0.0028383731842041016, 2.359243287468783)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_021,"(0.0027387142181396484, 2.830260093182276)"
algorithm_Alg2_num_nodes_000005_sim_021,"(0.0026569366455078125, 2.359243287468783)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_021,"(0.0031485557556152344, 2.359243287468783)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_022,"(0.0012009143829345703, 1.598619970245621)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_022,"(0.001276254653930664, 2.618299449341066)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_022,"(0.0031855106353759766, 1.598619970245621)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_022,"(0.0035047531127929688, 2.0516432717114697)"
algorithm_Alg2_num_nodes_000005_sim_022,"(0.0035905838012695312, 1.598619970245621)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_022,"(0.006596565246582031, 1.598619970245621)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_023,"(0.0011277198791503906, 1.164289383090256)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_023,"(0.0009765625, 1.164289383090256)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_023,"(0.002158641815185547, 1.164289383090256)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_023,"(0.0021829605102539062, 1.164289383090256)"
algorithm_Alg2_num_nodes_000005_sim_023,"(0.0017800331115722656, 1.164289383090256)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_023,"(0.001041412353515625, 1.164289383090256)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_024,"(0.0011019706726074219, 0.8695680301677432)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_024,"(0.0011746883392333984, 0.8695680301677432)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_024,"(0.002977609634399414, 0.8695680301677432)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_024,"(0.0031604766845703125, 0.8695680301677432)"
algorithm_Alg2_num_nodes_000005_sim_024,"(0.0023810863494873047, 0.8695680301677432)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_024,"(0.0023872852325439453, 0.8695680301677432)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_025,"(0.0012347698211669922, 1.116624432267301)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_025,"(0.0012023448944091797, 1.07812654733837)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_025,"(0.0035147666931152344, 1.116624432267301)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_025,"(0.003261566162109375, 1.07812654733837)"
algorithm_Alg2_num_nodes_000005_sim_025,"(0.003718137741088867, 1.07812654733837)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_025,"(0.008298397064208984, 1.07812654733837)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_026,"(0.0002465248107910156, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_026,"(0.00026679039001464844, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_026,"(0.0012798309326171875, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_026,"(0.0012545585632324219, 0)"
algorithm_Alg2_num_nodes_000005_sim_026,"(0.0012462139129638672, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_026,"(0.00038051605224609375, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_027,"(0.0012731552124023438, 3.861593792589905)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_027,"(0.0012760162353515625, 3.8615937925899044)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_027,"(0.004649162292480469, 3.8615937925899044)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_027,"(0.004096269607543945, 3.8615937925899044)"
algorithm_Alg2_num_nodes_000005_sim_027,"(0.029903173446655273, 3.7198998920428874)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_027,"(0.3846762180328369, 3.7198998920428874)"
