run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_020,"(0.00039577484130859375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_021,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_022,"(0.4629476070404053, 4.294434069491002)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_023,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_024,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_025,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_026,"(0.0004093647003173828, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_027,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_028,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_029,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_030,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_031,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_032,"(0.00046896934509277344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_033,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_034,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_035,"(0.00041365623474121094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_036,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_037,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_038,"(0.004656076431274414, 1.4564356978317377)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_039,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_040,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_041,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_042,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_043,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_044,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_045,"(0.0006237030029296875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_046,"(0.000732421875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_047,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_048,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_049,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_000,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_003,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_004,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_005,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_006,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_007,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_008,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_009,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_010,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_011,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_012,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_014,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_015,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_016,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_017,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_018,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_019,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_020,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_021,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_022,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_023,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_024,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_025,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_026,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_027,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_028,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_029,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_030,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_031,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_032,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_033,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_034,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_035,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_036,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_037,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_038,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_039,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_040,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_041,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_042,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_043,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_044,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_045,"(inf, inf)"
